id;lake;gender;size;food
40;Hancock;Female;> 2.3;Fish
215;Hancock;Male;<= 2.3;Reptile
113;Trafford;Female;> 2.3;Reptile
16;Oklawaha;Male;<= 2.3;Invertebrate
82;Trafford;Female;<= 2.3;Invertebrate
118;Trafford;Female;> 2.3;Fish
45;George;Female;<= 2.3;Bird
50;Hancock;Female;<= 2.3;Other
60;George;Female;<= 2.3;Fish
79;Oklawaha;Female;> 2.3;Fish
159;Hancock;Male;> 2.3;Fish
215;Oklawaha;Male;<= 2.3;Reptile
56;Hancock;Male;> 2.3;Other
79;George;Female;<= 2.3;Fish
95;Hancock;Female;> 2.3;Fish
73;George;Female;<= 2.3;Invertebrate
210;Oklawaha;Female;> 2.3;Fish
38;Hancock;Female;<= 2.3;Fish
140;George;Female;<= 2.3;Fish
62;Oklawaha;Female;> 2.3;Reptile
8;Hancock;Male;<= 2.3;Fish
123;George;Female;<= 2.3;Invertebrate
191;Oklawaha;Male;<= 2.3;Fish
213;Trafford;Female;> 2.3;Invertebrate
120;Oklawaha;Female;> 2.3;Fish
200;Oklawaha;Female;> 2.3;Invertebrate
33;Trafford;Female;> 2.3;Other
33;Hancock;Male;<= 2.3;Fish
181;George;Male;> 2.3;Fish
5;George;Female;<= 2.3;Fish
111;Oklawaha;Male;<= 2.3;Other
28;Hancock;Male;<= 2.3;Fish
140;Trafford;Male;<= 2.3;Fish
179;Trafford;Female;> 2.3;Fish
34;George;Female;<= 2.3;Invertebrate
188;Trafford;Female;> 2.3;Invertebrate
115;Trafford;Female;> 2.3;Reptile
184;Oklawaha;Female;> 2.3;Fish
60;Trafford;Male;<= 2.3;Other
40;Hancock;Male;> 2.3;Fish
5;Oklawaha;Female;> 2.3;Fish
43;George;Female;<= 2.3;Invertebrate
8;George;Female;<= 2.3;Fish
60;Hancock;Male;<= 2.3;Fish
132;Trafford;Female;> 2.3;Fish
66;George;Female;> 2.3;Fish
70;George;Male;> 2.3;Fish
175;Trafford;Female;<= 2.3;Invertebrate
144;Oklawaha;Female;> 2.3;Invertebrate
129;Trafford;Female;> 2.3;Fish
88;Oklawaha;Female;> 2.3;Fish
137;Oklawaha;Female;> 2.3;Fish
8;Hancock;Male;<= 2.3;Fish
111;George;Female;<= 2.3;Fish
129;Trafford;Female;> 2.3;Invertebrate
130;George;Female;<= 2.3;Fish
8;Oklawaha;Female;<= 2.3;Fish
26;Trafford;Female;> 2.3;Other
96;Hancock;Male;> 2.3;Other
97;Oklawaha;Male;<= 2.3;Fish
165;George;Male;<= 2.3;Invertebrate
182;George;Female;> 2.3;Fish
147;Trafford;Female;> 2.3;Bird
55;Hancock;Male;<= 2.3;Other
189;Trafford;Female;<= 2.3;Invertebrate
216;George;Male;<= 2.3;Fish
94;George;Female;> 2.3;Fish
82;Oklawaha;Male;<= 2.3;Invertebrate
